pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
Few-Shot Learning,General,923,2939,114234
Fairness,General,915,5656,114234
Reinforcement Learning,Computer Vision,903,13136,54472
Meta-Learning,General,900,3548,114234
Deep Reinforcement Learning,Reinforcement Learning,885,5808,6988
object-detection,Natural Language Processing,872,10484,40996
Dimensionality Reduction,General,867,3297,114234
Neural Architecture Search,General,852,1908,114234
Decision Making,Natural Language Processing,850,12282,40996
In-Context Learning,General,845,2291,114234
Image Classification,Natural Language Processing,829,10391,40996
Super-Resolution,General,829,3867,114234
Segmentation,Natural Language Processing,823,13036,40996
Time Series,Computer Vision,820,9146,54472
Classification,Natural Language Processing,816,12759,40996
Autonomous Driving,Computer Vision,799,6080,54472
Generative Adversarial Network,Computer Vision,798,3106,54472
Model Compression,General,797,1350,114234
Gaussian Processes,General,795,1955,114234
Sentiment Analysis,Natural Language Processing,787,5588,40996
Information Retrieval,General,782,4717,114234
Translation,Computer Vision,779,12219,54472
Multi-Task Learning,General,764,3654,114234
Video Generation,Computer Vision,762,1461,54472
Pose Estimation,General,760,4220,114234
Data Augmentation,Natural Language Processing,755,8321,40996
Medical Image Segmentation,General,750,2087,114234
Attribute,Computer Vision,747,5364,54472
Instance Segmentation,General,745,2255,114234
Domain Adaptation,Computer Vision,739,6401,54472
Position,General,738,3658,114234
Automatic Speech Recognition,General,732,3158,114234
Decision Making,Computer Vision,732,12282,54472
Time Series,Natural Language Processing,729,9146,40996
Text Classification,Natural Language Processing,721,3582,40996
Prediction,Computer Vision,720,8724,54472
Contrastive Learning,Natural Language Processing,719,6618,40996
Self-Supervised Learning,Computer Vision,716,5029,54472
Articles,General,709,3983,114234
Medical Image Segmentation,Computer Vision,707,2087,54472
Word Embeddings,General,706,3946,114234
Self-Supervised Learning,Graphs,701,5029,12318
Binary Classification,General,699,2563,114234
Instance Segmentation,Computer Vision,699,2255,54472
Object,Natural Language Processing,699,10670,40996
Uncertainty Quantification,General,693,2364,114234
Diagnostic,Computer Vision,692,4504,54472
image-classification,Natural Language Processing,689,9178,40996
Automatic Speech Recognition (ASR),General,682,2995,114234
Diversity,Natural Language Processing,682,9013,40996
Graph Neural Network,General,668,3585,114234
Scheduling,General,667,3100,114234
Triplet,General,666,1621,114234
Text-to-Image Generation,Computer Vision,660,1081,54472
Benchmarking,Natural Language Processing,657,5525,40996
All,General,646,2624,114234
Quantization,Computer Vision,645,4915,54472
Mixture-of-Experts,General,644,1305,114234
Generative Adversarial Network,General,641,3106,114234
text-classification,Natural Language Processing,636,3005,40996
Anomaly Detection,Computer Vision,631,4850,54472
Privacy Preserving,General,623,2970,114234
Natural Language Understanding,General,622,1934,114234
model,Computer Vision,621,5411,54472
Continual Learning,General,621,2629,114234
Computational Efficiency,Computer Vision,617,4882,54472
Prediction,Natural Language Processing,616,8724,40996
Bayesian Optimization,General,611,1896,114234
Named Entity Recognition,General,608,2524,114234
Knowledge Graphs,General,605,2954,114234
Clustering,Computer Vision,602,10681,54472
valid,General,594,3571,114234
Action Recognition,General,593,2752,114234
named-entity-recognition,General,587,2456,114234
GPU,Natural Language Processing,586,5609,40996
Text to Image Generation,Computer Vision,582,965,54472
Time Series,Sequential,580,9146,6593
Relation,General,578,3452,114234
Word Embeddings,Natural Language Processing,568,3946,40996
Named Entity Recognition (NER),General,567,2836,114234
Node Classification,Graphs,563,1855,12318
Knowledge Distillation,Computer Vision,563,4217,54472
In-Context Learning,Natural Language Processing,563,2291,40996
Pose Estimation,Computer Vision,562,4220,54472
CPU,General,559,2227,114234
Time Series Forecasting,General,557,1604,114234
Hallucination,General,554,1812,114234
Deep Reinforcement Learning,Computer Vision,549,5808,54472
Image Generation,Natural Language Processing,548,6664,40996
Knowledge Distillation,Natural Language Processing,546,4217,40996
Large Language Model,Computer Vision,545,6093,54472
Denoising,Natural Language Processing,543,7256,40996
Code Generation,General,538,1694,114234
Information Retrieval,Natural Language Processing,525,4717,40996
EEG,General,521,2430,114234
Active Learning,General,520,3057,114234
Time Series Analysis,Computer Vision,519,6730,54472
Bayesian Inference,General,508,2217,114234
Visual Question Answering,General,505,2162,114234
Specificity,General,502,2090,114234
Emotion Recognition,General,500,2028,114234
Reinforcement Learning (RL),Natural Language Processing,500,15057,40996
Retrieval,Graphs,498,14207,12318
Speech Recognition,Natural Language Processing,497,6397,40996
Face Recognition,General,495,2326,114234
Question Answering,Computer Vision,495,10686,54472
Articles,Natural Language Processing,495,3983,40996
Inductive Bias,General,494,1518,114234
Math,General,489,1586,114234
Domain Generalization,General,487,1744,114234
speech-recognition,Natural Language Processing,486,5685,40996
Natural Language Inference,General,483,1933,114234
Self-Supervised Learning,Natural Language Processing,483,5029,40996
Semantic Segmentation,Graphs,482,14729,12318
Management,Computer Vision,481,8119,54472
Natural Language Understanding,Natural Language Processing,481,1934,40996
Time Series Analysis,Sequential,480,6730,6593
counterfactual,General,479,2748,114234
Autonomous Driving,Natural Language Processing,478,6080,40996
Network Pruning,General,477,531,114234
Data Augmentation,Graphs,474,8321,12318
Visual Question Answering (VQA),General,472,2148,114234
Autonomous Vehicles,General,468,2602,114234
Model Selection,General,466,2047,114234
Computational Efficiency,Natural Language Processing,466,4882,40996
regression,Computer Vision,465,9395,54472
Image Super-Resolution,Computer Vision,464,1587,54472
Recommendation Systems,Natural Language Processing,462,6037,40996
Diagnostic,Natural Language Processing,462,4504,40996
NER,General,460,1703,114234
Quantization,Natural Language Processing,460,4915,40996
Sentence,Computer Vision,459,10587,54472
Mamba,General,459,1058,114234
Sentence,Sequential,456,10587,6593
Fairness,Natural Language Processing,454,5656,40996
reinforcement-learning,Natural Language Processing,451,13386,40996
Benchmarking,Computer Vision,441,5525,54472
Image Segmentation,Natural Language Processing,441,5028,40996
Image Reconstruction,Computer Vision,440,2139,54472
Management,Natural Language Processing,438,8119,40996
Zero-Shot Learning,General,438,1853,114234
Image Restoration,Computer Vision,437,1454,54472
Hallucination,Natural Language Processing,437,1812,40996
Survey,General,436,4076,114234
Image Captioning,General,435,1858,114234
Named Entity Recognition,Natural Language Processing,435,2524,40996
Depth Estimation,General,434,2446,114234
Vocal Bursts Intensity Prediction,General,434,2608,114234
Text Generation,Computer Vision,433,5259,54472
Zero-Shot Learning,Computer Vision,431,1853,54472
Semantic Textual Similarity,General,431,2360,114234
Prompt Engineering,General,430,1234,114234
Attribute,Natural Language Processing,429,5364,40996
Stochastic Optimization,General,423,1378,114234
Sensitivity,General,421,2008,114234
named-entity-recognition,Natural Language Processing,420,2456,40996
Language Modelling,Sequential,419,17424,6593
Action Recognition,Computer Vision,419,2752,54472
Decision Making,Reinforcement Learning,419,12282,6988
Video Generation,General,418,1461,114234
model,Natural Language Processing,416,5411,40996
Image Inpainting,General,413,706,114234
Adversarial Robustness,General,411,1739,114234
Deep Learning,Natural Language Processing,409,9401,40996
Domain Adaptation,Natural Language Processing,409,6401,40996
Code Generation,Natural Language Processing,409,1694,40996
parameter-efficient fine-tuning,General,402,932,114234
Image-to-Image Translation,Computer Vision,399,1177,54472
Graph Attention,General,398,1081,114234
Classification,Graphs,396,12759,12318
SSIM,Computer Vision,394,1333,54472
Decoder,Sequential,394,10294,6593
Named Entity Recognition (NER),Natural Language Processing,394,2836,40996
Depth Estimation,Computer Vision,392,2446,54472
Disentanglement,Computer Vision,389,1843,54472
Image Restoration,General,389,1454,114234
BIG-bench Machine Learning,Computer Vision,388,10008,54472
Image Reconstruction,General,388,2139,114234
NMT,General,385,1737,114234
Image Super-Resolution,General,385,1587,114234
Reinforcement Learning,Natural Language Processing,385,13136,40996
Natural Language Inference,Natural Language Processing,382,1933,40996
Style Transfer,General,381,1650,114234
Object Tracking,General,379,1960,114234
Q-Learning,General,378,1912,114234
Style Transfer,Computer Vision,378,1650,54472
Medical Image Analysis,General,375,1357,114234
Imitation Learning,General,374,2115,114234
Incremental Learning,General,373,1370,114234
Object Recognition,General,373,2036,114234
Reading Comprehension,General,368,1732,114234
Ensemble Learning,General,367,1203,114234
SSIM,General,366,1333,114234
Feature Engineering,General,365,1698,114234
Recommendation Systems,Graphs,365,6037,12318
Disentanglement,General,365,1843,114234
Navigate,General,364,1976,114234
Few-Shot Learning,Natural Language Processing,364,2939,40996
Link Prediction,Graphs,363,1937,12318
Instruction Following,General,362,1133,114234
Edge-computing,General,361,1279,114234
Survey,Natural Language Processing,359,4076,40996
Image Retrieval,General,356,2231,114234
Language Modelling,Graphs,356,17424,12318
Knowledge Graphs,Natural Language Processing,355,2954,40996
Prompt Engineering,Natural Language Processing,355,1234,40996
Sentence,Graphs,353,10587,12318
Hyperparameter Optimization,General,353,812,114234
Feature Importance,General,351,889,114234
Scene Understanding,General,351,1722,114234
text-to-speech,General,350,1409,114234
Text to Speech,General,350,1415,114234
Anomaly Detection,Natural Language Processing,349,4850,40996
Language Modeling,Sequential,345,14015,6593
Prediction,Graphs,345,8724,12318
General Classification,Sequential,343,14551,6593
Graph Learning,Graphs,343,1567,12318
Federated Learning,Natural Language Processing,341,6756,40996
Adversarial Attack,General,340,1799,114234
Relation Extraction,General,340,1951,114234
Graph Neural Network,Computer Vision,339,3585,54472
counterfactual,Reinforcement Learning,338,2748,6988
Multi-Task Learning,Natural Language Processing,337,3654,40996
NER,Natural Language Processing,335,1703,40996
3D Object Detection,General,333,1572,114234
Optical Flow Estimation,General,332,2178,114234
Metric Learning,General,331,1645,114234
Visual Question Answering,Natural Language Processing,325,2162,40996
General Classification,Natural Language Processing,323,14551,40996
Unsupervised Domain Adaptation,General,322,1942,114234
Position,Natural Language Processing,322,3658,40996
Semantic Similarity,General,321,1550,114234
Math,Natural Language Processing,321,1586,40996
3D Reconstruction,Computer Vision,319,2316,54472
Neural Architecture Search,Computer Vision,318,1908,54472
Image-to-Image Translation,General,317,1177,114234
Segmentation,Graphs,316,13036,12318
Recommendation Systems,Computer Vision,316,6037,54472
regression,Natural Language Processing,316,9395,40996
Autonomous Driving,Reinforcement Learning,315,6080,6988
Medical Image Analysis,Computer Vision,315,1357,54472
Multiple-choice,General,315,1097,114234
Clustering,Graphs,314,10681,12318
Image Classification,Graphs,313,10391,12318
Federated Learning,Computer Vision,313,6756,54472
3D Reconstruction,General,310,2316,114234
Semantic Textual Similarity,Natural Language Processing,309,2360,40996
Memorization,General,308,1078,114234
Time Series Forecasting,Natural Language Processing,308,1604,40996
Text-to-Image Generation,General,307,1081,114234
Person Re-Identification,General,306,1486,114234
Visual Question Answering (VQA),Natural Language Processing,303,2148,40996
Relation,Natural Language Processing,303,3452,40996
Graph Learning,General,302,1567,114234
Few-Shot Learning,Computer Vision,301,2939,54472
Position,Computer Vision,300,3658,54472
Domain Generalization,Computer Vision,300,1744,54472
NeRF,General,299,1710,114234
Face Recognition,Computer Vision,298,2326,54472
Automatic Speech Recognition,Natural Language Processing,297,3158,40996
Speech Recognition,Computer Vision,296,6397,54472
Prediction,Sequential,296,8724,6593
State Space Models,General,295,923,114234
Image Retrieval,Computer Vision,294,2231,54472
Clustering,Natural Language Processing,294,10681,40996
Electroencephalogram (EEG),General,293,1655,114234
Optical Flow Estimation,Computer Vision,293,2178,54472
Image Captioning,Computer Vision,291,1858,54472
All,Computer Vision,291,2624,54472
Tumor Segmentation,General,289,785,114234
Text Summarization,General,287,1315,114234
Computed Tomography (CT),General,286,1207,114234
Out-of-Distribution Detection,General,286,886,114234
Graph Attention,Graphs,285,1081,12318
Mamba,Natural Language Processing,284,1058,40996
speech-recognition,Computer Vision,283,5685,54472
Reading Comprehension,Natural Language Processing,283,1732,40996
image-classification,Graphs,282,9178,12318
3D Generation,Computer Vision,282,430,54472
Node Classification,General,281,1855,114234
Descriptive,General,280,1475,114234
Computed Tomography (CT),Computer Vision,279,1207,54472
Object Recognition,Computer Vision,279,2036,54472
parameter estimation,General,279,1715,114234
Imputation,General,279,1232,114234
All,Natural Language Processing,279,2624,40996
Novel View Synthesis,General,279,1437,114234
NeRF,Computer Vision,278,1710,54472
Fairness,Computer Vision,276,5656,54472
Visual Question Answering,Computer Vision,276,2162,54472
Mathematical Reasoning,General,275,805,114234
Sentiment Analysis,Sequential,274,5588,6593
Language Modeling,Graphs,274,14015,12318
Automatic Speech Recognition (ASR),Natural Language Processing,272,2995,40996
Neural Architecture Search,Sequential,272,1908,6593
Graph Representation Learning,Graphs,272,978,12318
Speech Synthesis,General,271,1247,114234
Specificity,Computer Vision,269,2090,54472
Activity Recognition,General,269,1321,114234
Text to Image Generation,General,268,965,114234
Multi-Task Learning,Computer Vision,267,3654,54472
Temporal Action Localization,General,266,1473,114234
Novel View Synthesis,Computer Vision,266,1437,54472
Density Estimation,General,265,1384,114234
Multiple-choice,Natural Language Processing,265,1097,40996
Chatbot,General,264,963,114234
NMT,Natural Language Processing,263,1737,40996
Medical Image Segmentation,Natural Language Processing,262,2087,40996
Dimensionality Reduction,Computer Vision,261,3297,54472
Misinformation,General,261,1274,114234
Knowledge Graphs,Graphs,260,2954,12318
Link Prediction,General,259,1937,114234
Unsupervised Domain Adaptation,Computer Vision,257,1942,54472
Multi-Label Classification,General,257,1193,114234
Multi-agent Reinforcement Learning,General,256,1710,114234
Transfer Learning,Graphs,256,10231,12318
Graph Neural Network,Natural Language Processing,256,3585,40996
Form,General,253,1610,114234
Optical Character Recognition (OCR),General,251,1206,114234
Explainable artificial intelligence,General,251,971,114234
Inductive Bias,Computer Vision,251,1518,54472
Tumor Segmentation,Computer Vision,250,785,54472
Vocal Bursts Intensity Prediction,Computer Vision,250,2608,54472
Visual Question Answering (VQA),Computer Vision,250,2148,54472
Pose Estimation,Natural Language Processing,250,4220,40996
Multi-class Classification,General,249,895,114234
Scene Understanding,Computer Vision,249,1722,54472
Zero-Shot Learning,Natural Language Processing,249,1853,40996
CPU,Computer Vision,248,2227,54472
Sentiment Classification,General,248,943,114234
Video Understanding,General,248,1143,114234
Object,Graphs,248,10670,12318
Decoder,Graphs,248,10294,12318
Causal Inference,General,246,1717,114234
Instruction Following,Natural Language Processing,246,1133,40996
Time Series,Graphs,245,9146,12318
Explainable Artificial Intelligence (XAI),General,245,1040,114234
Self-Learning,General,243,402,114234
MUlTI-LABEL-ClASSIFICATION,General,242,1101,114234
Object Detection,Graphs,242,10925,12318
Video Semantic Segmentation,Computer Vision,242,893,54472
Colorization,General,241,367,114234
Prompt Learning,Computer Vision,241,675,54472
Deblurring,Computer Vision,240,998,54472
Image Denoising,Computer Vision,240,1218,54472
Anatomy,General,239,1132,114234
Drug Discovery,General,239,1336,114234
Image Denoising,General,238,1218,114234
Image Captioning,Natural Language Processing,238,1858,40996
Machine Translation,Sequential,237,10592,6593
Graph Classification,Graphs,237,924,12318
Autonomous Vehicles,Computer Vision,236,2602,54472
Deep Learning,Sequential,235,9401,6593
object-detection,Graphs,235,10484,12318
Gaussian Processes,Computer Vision,234,1955,54472
Classification,Sequential,233,12759,6593
Text Summarization,Natural Language Processing,233,1315,40996
Anatomy,Computer Vision,231,1132,54472
General Classification,Graphs,231,14551,12318
Response Generation,General,231,894,114234
Inductive Bias,Natural Language Processing,230,1518,40996
Image Inpainting,Computer Vision,229,706,54472
Relation Extraction,Natural Language Processing,229,1951,40996
Management,Reinforcement Learning,227,8119,6988
Semantic Parsing,General,226,1176,114234
Super-Resolution,Natural Language Processing,226,3867,40996
Common Sense Reasoning,General,225,929,114234
3D Object Detection,Computer Vision,224,1572,54472
Mixture-of-Experts,Natural Language Processing,224,1305,40996
Continuous Control,General,223,1159,114234
Machine Translation,Computer Vision,223,10592,54472
Combinatorial Optimization,General,223,1272,114234
Pseudo Label,General,223,953,114234
EEG,Computer Vision,221,2430,54472
Binary Classification,Natural Language Processing,221,2563,40996
Emotion Recognition,Natural Language Processing,219,2028,40996
counterfactual,Natural Language Processing,219,2748,40996
Speech Recognition,Sequential,218,6397,6593
Word Embeddings,Sequential,217,3946,6593
Translation,Sequential,217,12219,6593
Node Classification,Computer Vision,217,1855,54472
Survey,Computer Vision,217,4076,54472
ISAC,General,217,691,114234
Object Tracking,Computer Vision,216,1960,54472
Semantic Similarity,Natural Language Processing,216,1550,40996
Text to 3D,Computer Vision,216,314,54472
Video Semantic Segmentation,General,214,893,114234
valid,Computer Vision,214,3571,54472
Trajectory Prediction,General,213,1003,114234
Relation,Graphs,213,3452,12318
Class Incremental Learning,General,212,633,114234
Graph Embedding,Graphs,212,1184,12318
Speech Synthesis,Computer Vision,212,1247,54472
Image Enhancement,Computer Vision,211,980,54472
Time Series Analysis,Natural Language Processing,211,6730,40996
continuous-control,General,210,1097,114234
Text to Speech,Computer Vision,210,1415,54472
text-to-speech,Computer Vision,209,1409,54472
class-incremental learning,General,208,616,114234
Face Swapping,General,208,912,114234
whole slide images,General,208,745,114234
Action Recognition,Natural Language Processing,208,2752,40996
Logical Reasoning,General,208,738,114234
Misinformation,Natural Language Processing,208,1274,40996
Adversarial Robustness,Computer Vision,207,1739,54472
Model Predictive Control,General,207,1581,114234
Re-Ranking,General,207,735,114234
speech-recognition,Sequential,206,5685,6593
Image Enhancement,General,205,980,114234
Prognosis,General,204,899,114234
Variational Inference,Computer Vision,203,2264,54472
Deep Reinforcement Learning,Natural Language Processing,203,5808,40996
Abstractive Text Summarization,General,201,823,114234
Prompt Learning,General,201,675,114234
Change Detection,General,200,915,114234
POS,General,200,1132,114234
Lesion Segmentation,General,199,639,114234
Instance Segmentation,Natural Language Processing,199,2255,40996
Binary Classification,Computer Vision,198,2563,54472
feature selection,Computer Vision,198,2968,54472
Conformal Prediction,General,197,703,114234
Mamba,Computer Vision,197,1058,54472
Intrusion Detection,General,196,800,114234
Question Answering,Graphs,196,10686,12318
Speech Enhancement,General,195,980,114234
Sequential Decision Making,General,194,1204,114234
Attribute,Graphs,194,5364,12318
Synthetic Data Generation,General,194,820,114234
Uncertainty Quantification,Computer Vision,194,2364,54472
Out of Distribution (OOD) Detection,General,193,627,114234
Adversarial Attack,Computer Vision,192,1799,54472
Collaborative Filtering,General,192,1306,114234
Privacy Preserving,Computer Vision,191,2970,54472
zero-shot-classification,Computer Vision,191,421,54472
Meta-Learning,Computer Vision,190,3548,54472
Motion Generation,Computer Vision,190,445,54472
Model Compression,Computer Vision,190,1350,54472
Medical Diagnosis,General,190,713,114234
AutoML,General,190,640,114234
Mathematical Reasoning,Natural Language Processing,190,805,40996
Multi-agent Reinforcement Learning,Reinforcement Learning,189,1710,6988
World Knowledge,General,189,809,114234
Q-Learning,Computer Vision,188,1912,54472
Lesion Segmentation,Computer Vision,188,639,54472
Image Compression,Computer Vision,188,1007,54472
Language Modelling,Reinforcement Learning,188,17424,6988
Image Compression,General,188,1007,114234
counterfactual,Computer Vision,188,2748,54472
valid,Natural Language Processing,188,3571,40996
Chatbot,Natural Language Processing,188,963,40996
Continuous Control,Reinforcement Learning,187,1159,6988
Sentiment Analysis,Computer Vision,187,5588,54472
Masked Language Modeling,General,187,456,114234
Speaker Verification,General,186,744,114234
Anomaly Detection,Graphs,186,4850,12318
Graph Representation Learning,General,185,978,114234
XLM-R,Natural Language Processing,185,213,40996
Video Generation,Natural Language Processing,185,1461,40996
Transfer Learning,Sequential,184,10231,6593
Action Recognition,Graphs,183,2752,12318
Person Re-Identification,Computer Vision,183,1486,54472
Integrated sensing and communication,General,183,549,114234
Relation,Computer Vision,182,3452,54472
GSM8K,General,182,439,114234
TAG,General,181,1080,114234
Text Classification,Computer Vision,181,3582,54472
Continual Learning,Computer Vision,181,2629,54472
Sensitivity,Computer Vision,181,2008,54472
Imitation Learning,Computer Vision,181,2115,54472
Triplet,Computer Vision,180,1621,54472
Diversity,Graphs,179,9013,12318
Face Swapping,Computer Vision,179,912,54472
Property Prediction,General,179,690,114234
Model Compression,Natural Language Processing,179,1350,40996
parameter-efficient fine-tuning,Natural Language Processing,179,932,40996
Monocular Depth Estimation,General,178,875,114234
GPR,General,178,269,114234
Response Generation,Natural Language Processing,178,894,40996
Privacy Preserving,Natural Language Processing,178,2970,40996
Temporal Action Localization,Computer Vision,177,1473,54472
Atari Games,Reinforcement Learning,175,621,6988
Specificity,Natural Language Processing,175,2090,40996
In-Context Learning,Computer Vision,175,2291,54472
Video Object Segmentation,Computer Vision,174,549,54472
Graph Embedding,General,174,1184,114234
Domain Adaptation,Graphs,174,6401,12318
Deblurring,General,173,998,114234
Graph Learning,Computer Vision,173,1567,54472
Speech Enhancement,Computer Vision,172,980,54472
continuous-control,Reinforcement Learning,172,1097,6988
MuJoCo,General,172,677,114234
Abstractive Text Summarization,Natural Language Processing,172,823,40996
Density Estimation,Computer Vision,171,1384,54472
Scheduling,Natural Language Processing,171,3100,40996
Test-time Adaptation,General,171,483,114234
Zero-shot Generalization,General,171,567,114234
Navigate,Natural Language Processing,171,1976,40996
Scheduling,Computer Vision,170,3100,54472
Automatic Speech Recognition,Computer Vision,170,3158,54472
Conditional Image Generation,Computer Vision,169,285,54472
Video Editing,Computer Vision,169,345,54472
Cross-Lingual Transfer,General,169,750,114234
Topic Models,General,168,875,114234
Descriptive,Computer Vision,168,1475,54472
Missing Values,General,168,801,114234
Time Series Forecasting,Computer Vision,168,1604,54472
Emotion Recognition,Computer Vision,166,2028,54472
Atari Games,General,166,621,114234
Reinforcement Learning (RL),Graphs,166,15057,12318
Decision Making,Graphs,166,12282,12318
Evolutionary Algorithms,General,165,1106,114234
Brain Tumor Segmentation,General,165,435,114234
Sentence Embeddings,General,165,604,114234
Masked Language Modeling,Natural Language Processing,165,456,40996
Continual Learning,Natural Language Processing,165,2629,40996
Vocal Bursts Valence Prediction,General,164,1154,114234
Cross-Lingual Transfer,Natural Language Processing,164,750,40996
Visual Reasoning,General,162,696,114234
Reinforcement Learning,Sequential,162,13136,6593
Marketing,General,162,951,114234
Human Activity Recognition,General,162,743,114234
Video Understanding,Natural Language Processing,162,1143,40996
Imputation,Computer Vision,161,1232,54472
Image Manipulation,Computer Vision,160,426,54472
text-classification,Computer Vision,160,3005,54472
Action Detection,General,160,813,114234
Generalization Bounds,General,159,685,114234
Reranking,General,159,580,114234
Text Retrieval,Computer Vision,159,666,54472
Object Localization,General,158,615,114234
Logical Reasoning,Natural Language Processing,158,738,40996
Multiple Instance Learning,General,157,743,114234
Text Retrieval,General,157,666,114234
Kolmogorov-Arnold Networks,General,157,255,114234
Meta-Learning,Natural Language Processing,156,3548,40996
Sentiment Classification,Natural Language Processing,155,943,40996
reinforcement-learning,Graphs,155,13386,12318
Graph Classification,General,154,924,114234
Video Understanding,Computer Vision,154,1143,54472
Prompt Engineering,Computer Vision,154,1234,54472
Event Detection,General,153,935,114234
Dialogue State Tracking,General,153,287,114234
Memorization,Natural Language Processing,153,1078,40996
3DGS,General,153,633,114234
Image Registration,General,152,951,114234
Hate Speech Detection,General,152,504,114234
Common Sense Reasoning,Natural Language Processing,152,929,40996
Optical Character Recognition (OCR),Computer Vision,151,1206,54472
Monocular Depth Estimation,Computer Vision,151,875,54472
Autonomous Vehicles,Reinforcement Learning,151,2602,6988
Graph Learning,Natural Language Processing,151,1567,40996
Image Restoration,Natural Language Processing,151,1454,40996
Dependency Parsing,General,150,1381,114234
Time Series Classification,General,150,695,114234
Scene Understanding,Natural Language Processing,150,1722,40996
